 > 208.115.111.68, 1383112715
 > 94.198.187.51, 1383146320
 > 41.59.13.192, 1383150481
 > 119.63.193.195, 1383161025
 > 66.249.64.7, 1383190768
 > 66.249.64.8, 1383212960
 > 37.247.54.236, 1383214198
 > 66.249.73.174, 1383229626
 > 174.50.73.243, 1383232914
 > 206.192.168.25, 1383235484
 > 92.241.245.126, 1383240038
 > 174.50.73.243, 1383242453
 > 64.246.187.42, 1383246678
 > 174.50.73.243, 1383251002
 > 180.76.5.172, 1383257941
 > 66.249.73.174, 1383267047
 > 157.55.35.87, 1383283041
 > 66.249.73.174, 1383283660
 > 66.249.64.7, 1383303836
 > 5.39.50.0, 1383308555
 > 202.46.60.60, 1383312144
 > 119.63.193.132, 1383312213
 > 157.55.33.86, 1383353156
 > 66.249.66.40, 1383357636
 > 174.50.73.243, 1383362338
 > 174.50.73.243, 1383362372
 > 157.55.33.86, 1383368813
 > 197.186.243.60, 1383382014
 > 66.249.64.5, 1383418075
 > 66.249.73.174, 1383493211
 > 68.35.180.38, 1383516800
 > 68.35.180.38, 1383519380
 > 66.249.64.2, 1383532172
 > 54.211.248.27, 1383532887
 > 1.187.44.210, 1383533183
 > 66.249.73.174, 1383533697
 > 54.237.57.40, 1383545122
 > 54.237.57.40, 1383545138
 > 66.249.73.174, 1383552191
 > 166.137.116.16, 1383597542
 > 66.249.73.174, 1383628545
 > 129.127.25.47, 1383697409
 > 54.204.254.234, 1383709717
 > 136.169.10.10, 1383716622
 > 213.137.237.242, 1383726817
 > 93.92.217.228, 1383732936
 > 66.249.73.174, 1383749303
 > 107.20.21.74, 1383756878
 > 66.249.74.139, 1383794212
 > 66.249.73.174, 1383835145
 > 66.249.73.174, 1383869094
 > 198.27.82.146, 1383881979
 > 54.226.73.245, 1383898033
 > 66.249.73.174, 1383944319
 > 180.76.5.87, 1383951006
 > 198.199.122.109, 1383972038
 > 198.199.122.109, 1383973587
 > 66.249.64.3, 1383988880
 > 66.249.73.102, 1383998409
 > 178.154.178.251, 1384016369
 > 66.249.73.174, 1384037193
 > 198.211.107.157, 1384049741
 > 180.76.5.170, 1384059812
 > 185.29.8.139, 1384075100
 > 66.249.73.174, 1384092965
 > 66.249.64.1, 1384102903
 > 54.227.138.75, 1384110613
 > 54.242.250.73, 1384114357
 > 69.58.178.56, 1384138145
 > 69.58.178.56, 1384138146
 > 66.249.73.174, 1384140483
 > 41.222.57.11, 1384167044
 > 109.206.163.203, 1384176921
 > 66.249.64.7, 1384216876
 > 66.249.73.174, 1384229775
 > 180.76.5.56, 1384251853
 > 157.55.35.102, 1384299131
 > 64.246.165.180, 1384329466
 > 66.249.64.5, 1384331025
 > 107.21.180.92, 1384336386
 > 38.100.21.66, 1384336509
 > 208.115.113.84, 1384344231
 > 66.249.73.174, 1384353622
 > 157.55.35.78, 1384353886
 > 173.193.219.168, 1384383306
 > 66.249.73.174, 1384404416
 > 208.115.111.68, 1384423143
 > 41.222.177.109, 1384439564
 > 66.249.64.5, 1384445242
 > 66.249.73.102, 1384453508
 > 54.225.214.113, 1384468906
 > 208.90.57.196, 1384475462
 > 115.47.41.175, 1384480690
 > 23.23.222.104, 1384497135
 > 66.249.73.174, 1384559337
 > 66.249.73.174, 1384569047
 > 180.76.5.94, 1384609195
 > 66.249.73.174, 1384614236
 > 66.249.73.174, 1384673569
 > 174.76.140.74, 1384687576
 > 174.76.140.74, 1384687576
 > 91.200.13.36, 1384697548
 > 199.217.119.4, 1384752422
 > 199.217.119.4, 1384752422
 > 199.217.119.4, 1384752422
 > 66.249.73.174, 1384800033
 > 94.228.220.68, 1384860937
 > 66.249.73.174, 1384861766
 > 162.243.87.120, 1384863050
 > 66.249.73.174, 1384870792
 > 128.109.70.86, 1384877298
 > 197.250.4.46, 1384891297
 > 180.76.6.213, 1384897644
 > 85.25.110.111, 1384914417
 > 197.221.198.177, 1384927405
 > 66.249.73.102, 1384934423
 > 96.227.124.37, 1384968075
 > 174.240.225.200, 1384983845
 > 66.249.73.174, 1384994818
 > 174.76.140.74, 1385000518
 > 174.76.140.74, 1385000518
 > 66.249.73.174, 1385015575
 > 46.229.167.149, 1385056434
 > 66.249.73.102, 1385073033
 > 119.63.193.195, 1385090934
 > 202.46.62.97, 1385091025
 > 72.14.226.9, 1385115288
 > 66.249.73.174, 1385154817
 > 66.249.73.174, 1385165909
 > 91.123.195.136, 1385178266
 > 91.123.195.136, 1385179691
 > 66.249.73.102, 1385187137
 > 208.90.57.196, 1385201568
 > 157.55.35.37, 1385225171
 > 180.76.6.37, 1385266955
 > 199.59.148.209, 1385278560
 > 66.249.73.174, 1385281192
 > 178.154.178.251, 1385300838
 > 66.249.73.102, 1385301235
 > 66.249.73.174, 1385305243
 > 188.138.84.140, 1385311160
 > 91.200.14.88, 1385407253
 > 66.162.42.130, 1385410716
 > 66.249.64.6, 1385415045
 > 66.249.64.1, 1385415339
 > 172.246.33.37, 1385423372
 > 216.145.14.142, 1385437106
 > 66.249.64.5, 1385440504
 > 66.249.64.8, 1385463320
 > 66.249.64.1, 1385468462
 > 66.249.73.102, 1385475148
 > 66.249.73.102, 1385477719
 > 66.249.73.174, 1385546319
 > 66.249.73.174, 1385549811
 > 162.243.38.15, 1385571447
 > 192.96.204.42, 1385595331
 > 192.96.204.42, 1385595675
 > 178.154.178.251, 1385630995
 > 208.115.113.84, 1385639789
 > 66.249.73.102, 1385643603
 > 180.76.5.154, 1385644023
 > 66.249.73.174, 1385676607
 > 157.55.35.81, 1385713622
 > 66.249.73.174, 1385716147
 > 208.115.111.68, 1385748048
 > 157.55.35.81, 1385755042
 > 209.190.12.70, 1385759898
 > 66.249.73.174, 1385765348
 > 157.55.35.81, 1385796689
 > 180.153.236.121, 1385806232
 > 66.249.73.174, 1385824017
 > 178.154.178.251, 1385836651
 > 5.39.50.0, 1385847124
 > 174.240.12.66, 1385859539
 > 97.123.186.26, 1385866241
 > 157.56.92.162, 1385891211
 > 66.249.66.62, 1385929620
 > 157.55.32.94, 1385931874
 > 66.249.73.174, 1385988427
 > 157.55.35.99, 1385994886
 > 180.76.5.54, 1386002020
 > 66.249.73.174, 1386012029
 > 66.249.73.174, 1386023824
 > 157.56.229.245, 1386038545
 > 178.154.178.251, 1386058613
 > 157.56.229.245, 1386074508
 > 162.243.100.220, 1386093518
 > 198.199.76.198, 1386093883
 > 199.167.148.197, 1386122091
 > 66.249.73.174, 1386123216
 > 162.243.105.20, 1386136966
 > 157.56.93.103, 1386138479
 > 157.56.93.62, 1386144445
 > 197.186.132.230, 1386148197
 > 66.249.73.174, 1386157143
 > 66.249.75.40, 1386189383
 > 157.55.32.60, 1386193347
 > 65.55.55.229, 1386236834
 > 178.154.178.251, 1386250761
 > 142.255.95.123, 1386270597
 > 66.249.75.40, 1386271085
 > 66.249.75.40, 1386277928
 > 157.56.93.49, 1386281759
 > 180.76.6.230, 1386303123
 > 162.243.146.141, 1386304837
 > 162.243.146.196, 1386304837
 > 162.243.146.143, 1386304838
 > 109.206.179.161, 1386345393
 > 157.55.32.62, 1386373521
 > 65.55.24.220, 1386375506
 > 66.249.75.40, 1386385247
 > 66.249.75.62, 1386408990
 > 65.55.52.89, 1386418141
 > 24.59.16.44, 1386453293
 > 157.55.35.114, 1386455494
 > 195.234.136.80, 1386459313
 > 24.59.16.44, 1386474433
 > 193.0.146.27, 1386494358
 > 66.249.75.40, 1386495737
 > 65.55.24.214, 1386498898
 > 66.249.75.40, 1386499231
 > 66.249.75.40, 1386506572
 > 128.230.138.147, 1386539672
 > 157.55.33.104, 1386552819
 > 64.246.178.34, 1386560516
 > 66.249.76.174, 1386563886
 > 198.199.76.203, 1386573488
 > 162.243.100.221, 1386573488
 > 192.241.132.27, 1386573489
 > 198.199.82.240, 1386573489
 > 95.67.80.226, 1386579452
 > 157.56.92.176, 1386580667
 > 142.255.95.123, 1386596421
 > 142.255.95.123, 1386596968
 > 66.249.73.174, 1386601588
 > 157.56.93.187, 1386610337
 > 180.76.6.48, 1386632484
 > 66.249.73.174, 1386646147
 > 5.39.50.0, 1386650945
 > 157.55.32.101, 1386677043
 > 54.211.89.78, 1386704514
 > 174.50.73.243, 1386711669
 > 157.55.35.94, 1386712068
 > 198.27.66.80, 1386720812
 > 66.249.76.174, 1386727743
 > 69.58.178.56, 1386742876
 > 69.58.178.56, 1386742877
 > 157.55.35.94, 1386749903
 > 199.101.103.130, 1386758402
 > 66.249.76.174, 1386772749
 > 162.243.67.202, 1386777657
 > 67.164.185.202, 1386789650
 > 157.55.32.113, 1386794162
 > 157.56.93.74, 1386833312
 > 66.249.76.174, 1386835689
 > 66.249.76.174, 1386841547
 > 66.249.76.102, 1386886895
 > 208.115.113.84, 1386936100
 > 162.243.105.81, 1386937925
 > 162.243.105.81, 1386937976
 > 66.249.73.174, 1386947378
 > 95.173.163.157, 1386961742
 > 180.76.5.151, 1386973493
 > 66.249.73.174, 1386990386
 > 46.4.48.68, 1387010574
 > 157.55.34.93, 1387053341
 > 162.243.105.81, 1387060939
 > 66.249.66.62, 1387069705
 > 64.120.214.178, 1387071306
 > 82.94.226.104, 1387071832
 > 23.23.222.104, 1387121514
 > 66.249.73.174, 1387122298
 > 66.249.73.174, 1387122329
 > 54.196.123.196, 1387165403
 > 208.115.111.68, 1387173405
 > 66.249.73.102, 1387183746
 > 41.222.181.128, 1387225564
 > 174.50.73.243, 1387248720
 > 66.249.73.174, 1387253778
 > 66.249.73.174, 1387264305
 > 68.233.249.182, 1387269692
 > 66.249.73.174, 1387278608
 > 46.4.48.68, 1387290338
 > 66.249.73.102, 1387297895
 > 37.143.15.214, 1387299862
 > 174.50.73.243, 1387309289
 > 174.50.73.243, 1387309289
 > 50.67.161.111, 1387318154
 > 38.100.21.65, 1387333751
 > 180.76.5.17, 1387340287
 > 178.154.178.251, 1387349313
 > 66.249.73.174, 1387364452
 > 66.249.73.174, 1387373249
 > 54.206.10.238, 1387384693
 > 66.249.73.102, 1387412095
 > 178.154.178.251, 1387453288
 > 77.120.122.115, 1387470090
 > 209.234.181.82, 1387475129
 > 209.234.181.82, 1387475977
 > 66.249.73.174, 1387485759
 > 66.249.73.174, 1387491241
 > 66.249.73.102, 1387526219
 > 77.120.122.115, 1387531427
 > 80.73.72.130, 1387542223
 > 191.234.39.86, 1387542320
 > 162.243.19.119, 1387550330
 > 24.224.239.219, 1387555472
 > 66.249.73.174, 1387625669
 > 66.249.73.174, 1387638251
 > 66.249.73.102, 1387640371
 > 66.249.73.174, 1387649516
 > 192.241.191.244, 1387652823
 > 180.76.5.152, 1387668867
 > 64.246.165.160, 1387673513
 > 192.99.9.228, 1387683400
 > 66.249.73.102, 1387754399
 > 162.243.105.81, 1387779336
 > 207.182.143.242, 1387826040
 > 199.217.119.4, 1387836218
 > 199.217.119.4, 1387836218
 > 199.217.119.4, 1387836218
 > 66.249.73.174, 1387866064
 > 66.249.73.102, 1387868566
 > 162.243.105.81, 1387899951
 > 157.55.36.35, 1387902278
 > 66.249.64.4, 1387919734
 > 131.253.24.55, 1387922781
